서울/경기,시/군/구,동,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
서울특별시,강남구,역삼동,641-11,스타벅스역삼예지점,폐업,200510,201010,203100.8503,444470.0955
서울특별시,강남구,역삼동,816-7,스타벅스커피 강남역점,폐업,201205,201705,202337.2215,444235.2846
서울특별시,강남구,논현동,235-11,스타벅스 차병원사거리,폐업,201111,202211,203057.8297,445092.1834
서울특별시,송파구,방이동,88-1,스타벅스올림픽공원점,폐업,200706,201307,210215.1291,446275.7766
서울특별시,송파구,방이동,89-11,스타벅스올림픽프라자점,폐업,200405,201504,211619.368,445963.3849
서울특별시,송파구,방이동,22-5,스타벅스 송파구청점,폐업,201611,202206,209427.4102,445829.7259
서울특별시,강동구,천호동,455-8,스타벅스현대천호점,폐업,200406,201408,210931.6435,448522.0798
서울특별시,강동구,성내동,468,스타벅스커피 올림픽공원 북문점,폐업,201405,202107,211064.097,447034.5346
서울특별시,강동구,천호동,455-8,스타벅스 현대천호B1점,폐업,201508,201810,210931.6435,448522.0798
서울특별시,강동구,길동,459-4,스타벅스 길동사거리점,폐업,201008,202009,212167.3054,448056.9768
서울특별시,강남구,역삼동,646-15,스타벅스 역삼역점,폐업,200912,202301,203038.9781,444288.224
