서울/경기,시/군/구,동,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값,위도,경도
서울특별시,강남구,논현동,59-8,스타벅스 을지병원사거리점,영업,201504,202301,202468.1651,446326.897,36.61534776813127,127.02759020011526
서울특별시,종로구,종로1가,1,스타벅스 광화문교보문고점,영업,202208,202301,197993.9046,452032.9586,36.66676827592292,126.9775601024313
서울특별시,강남구,신사동,529-10,스타벅스 가로수길점,영업,201310,202301,201842.0217,446774.2874,36.619380799016206,127.02059197522443
서울특별시,마포구,신공덕동,69-2,스타벅스마포이마트,영업,201201,202301,126.95606,37.5447,32.574287988215545,124.87162091910729
서울특별시,강남구,대치동,942-5,스타벅스포스코점,영업,201007,202301,205053.8257,444843.0261,36.601965795768955,127.05648405382107
서울특별시,강남구,역삼동,681-0,스타벅스 아크로힐스 논현,영업,200912,202301,203502.7507,445197.6166,36.605168116283416,127.03915009218595
서울특별시,금천구,가산동,60-8,스타벅스 가산현대아울렛점,영업,202205,202301,190119.4634,441716.6846,36.57375520267357,126.88961043483343
서울특별시,중랑구,망우동,618,스타벅스 양원역점,영업,202208,202301,209310.6071,456035.3879,36.70279189732888,127.10419569125916
서울특별시,노원구,상계동,730-4,스타벅스 노원상계점,영업,202210,202301,205308.9238,461020.6648,36.7477461777288,127.05944720247064
서울특별시,마포구,상암동,1623,스타벅스 디지털미디어시티역점,영업,202205,202301,190976.7202,452652.6863,36.67231218100469,126.8990596507046
서울특별시,용산구,청파동2가,53-12,스타벅스 숙명여대정문점,영업,202208,202301,196831.4618,449320.3704,36.642321042590986,126.9645683863852
서울특별시,강서구,마곡동,759-2,스타벅스 마곡웰튼점,영업,202203,202301,184496.438,451677.5754,36.66344167060303,126.82658690090166
서울특별시,광진구,자양동,855,스타벅스 뚝섬유원지역,영업,202203,202301,205945.9882,447862.352,36.62916901166095,127.06647865031296
서울특별시,강서구,등촌동,689,스타벅스 강서NC점,영업,202109,202301,185824.4285,450866.2521,36.656151288852364,126.84145590700743
서울특별시,광진구,자양동,227-342,스타벅스 건국클래식점,영업,201206,202301,206217.4347,448506.2187,36.634969404719776,127.06951874602942
서울특별시,강남구,개포동,167-9,스타벅스 개포동점,영업,202304,202301,205300.8438,442296.3188,36.579014952699985,127.05922731020536
서울특별시,종로구,세종로,185-2,스타벅스 광화문점,영업,200202,202301,197837.6676,452107.2874,36.66743773508749,126.97581224812527
서울특별시,종로구,연건동,128-8,스타벅스 대학로점,영업,201301,202301,200059.3575,452693.7243,36.672724762979804,127.00066401572394
서울특별시,도봉구,창동,135-26,스타벅스 창동이마트점,영업,201906,202301,204107.0903,461072.6424,36.74822052033486,127.04598983629378
서울특별시,강서구,마곡동,798-3,스타벅스 마곡역점,영업,202003,202301,184572.4139,450792.4818,36.65546706063703,126.82745451673053
