서울/경기,시/군/구,동,리,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값,위도,경도
경기도,부천시,중동,,1031-2,스타벅스 부천시청역점,영업,201308,203001,178942.559566438,444816.402230322,37.5053121194,126.762630499
경기도,부천시,심곡본동,,316-2,스타벅스 부천역사,폐업,201004,201804,180724.082487894,442449.515665699,37.4839571,126.7828033
경기도,부천시,심곡본동,,316-2,스타벅스 부천역점,영업,202304,203001,180724.703317877,442449.069631369,37.4840373391,126.7826449277
경기도,부천시,옥길동,,745-5,스타벅스 부천옥길,영업,202004,203001,184290.240810416,440618.653273516,37.4675034436,126.823377379
경기도,부천시,옥길동,,784-2,스타벅스 부천옥길DT점,영업,202212,203001,183669.681932783,441117.417419204,37.4720497611,126.8161551421
경기도,부천시,원종동,,173,스타벅스 부천원종DT점,영업,202202,203001,182726.151265617,447519.159842523,37.5297546816,126.805431342
경기도,부천시,심곡동,,174-1,스타벅스 부천점,영업,201209,203001,180657.771489919,442562.696376175,37.4850706031,126.7821034308
경기도,부천시,중동,,1300,스타벅스 부천중동센트럴점,영업,202010,203001,179405.695792369,444449.660787061,37.5020280866,126.7679235986
경기도,부천시,중동,,1131-5,스타벅스 부천중동점,영업,201402,203001,180214.407476059,443999.58021599,37.498001172,126.7770472106
경기도,부천시,소사본동,,70-16,스타벅스 소사역점,영업,202301,203001,181791.425357327,442181.403750246,37.4814429576,126.7948737193
경기도,부천시,상동,,464,스타벅스 송내역점,영업,201110,203001,178049.483033206,442933.07230758,37.4883398424,126.752605722
경기도,부천시,옥길동,,768,스타벅스 스타필드부천점,영업,201908,203001,183469.36769705,439944.223220165,37.4614460303,126.8139450028
경기도,부천시,중동,,1132,스타벅스 신중동점,영업,202011,203001,180159.95573503,444253.594800943,37.5002960799,126.7764707327
경기도,부천시,중동,,1149-3,스타벅스 중동디지털프라자점,영업,202111,203001,179647.560235991,444576.875569934,37.5031803717,126.7706050143
경기도,부천시,춘의동,,168-3,스타벅스 춘의역DT점,영업,202012,203001,180954.613759074,444562.980036384,37.5030814771,126.7853930054
경기도,부천시,중동,,1140,스타벅스롯데중동점,폐업,200307,201101,180053.344768654,444507.864924505,37.502485,126.7751605
경기도,부천시,상동,,499-10,스타벅스부천상동DT,영업,202209,203001,178586.508106317,445967.082457239,37.5156883565,126.7585905814
경기도,부천시,상동,,539-1,스타벅스부천소풍점,폐업,200711,201212,178411.442063788,444684.40517583,37.5040335,126.7565745
경기도,부천시,중동,,1110,스타벅스부천스테이트몰점,폐업,200710,201211,180285.453678745,444119.215668757,37.4989852,126.7777947
경기도,부천시,중동,,1058-5,스타벅스부천신중동역점,영업,201506,203001,179960.785170621,444645.969664946,37.5038061201,126.774151467
경기도,부천시,심곡동,,110-5,스타벅스부천심곡DT,영업,201709,203001,180861.491471114,443440.662031781,37.4929082775,126.7844039761
경기도,부천시,중동,,628-14,스타벅스부천중동DT점,영업,201602,203001,179089.322242062,443822.528688319,37.496345057,126.7642911423
경기도,부천시,상동,,572-1,스타벅스부천플레이도시점,영업,200710,203001,177375.852950927,444220.013600334,37.499869098,126.7442661118
경기도,부천시,괴안동,,112-25,스타벅스역곡역DT점,영업,201503,203001,183063.130892373,442392.028667281,37.483520219,126.8093093768
경기도,부천시,중동,,1157,스타벅스중동이마트점,영업,201609,203001,179059.890468202,444675.160533494,37.5040675095,126.7639551478
경기도,부천시,중동,,1164,스타벅스현대중동점,영업,200308,203001,178901.991280584,444701.557193,37.5043171668,126.7620745903
경기도,성남분당구,서현동,,262-1,(주)스타벅스커피코리아,폐업,200308,200802,210809.857252735,431543.871656453,37.3858379,127.122799
경기도,성남분당구,정자동,,4-5,스타벅스 HD현대R&D센터,영업,202301,203001,209217.362934876,430520.678639045,37.3769342707,127.106111136
경기도,성남수정구,창곡동,,560-1,스타벅스 남위례역점,영업,202202,203001,212432.032863257,440287.345515531,37.464515082,127.1411368723
경기도,성남중원구,금광동,,4610,스타벅스 남한산성입구역점,영업,201906,203001,214042.416734209,438631.293307778,37.4496606162,127.1594441758
경기도,성남분당구,정자동,,178-4,스타벅스 네이버1784점,영업,202204,203001,209247.067526,428537.936079393,37.3588585421,127.1052006155
경기도,성남분당구,야탑동,,357-1,스타벅스 뉴코아 야탑점,영업,200802,203001,211200.046775342,434263.681539619,37.4109403922,127.1274822762
경기도,성남분당구,구미동,,11-4,스타벅스 미금역2001아울렛점,영업,202203,203001,209436.079182931,427437.237499513,37.3490770543,127.1074648235
경기도,성남분당구,궁내동,,255-5,스타벅스 분당궁내DT점,영업,202009,203001,208980.33198362,429838.564614808,37.3706113373,127.102146136
