사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
스타벅스 수원세류DT점,영업,202004,202301,200920.552956958,417873.166463528
스타벅스 수원세류역DT점,영업,202105,202301,201459.332357084,415763.796340812
스타벅스 수원시청점,폐업,201105,202105,202701.065840926,417715.351882346
스타벅스 수원역AK R점,영업,202110,202301,199920.194662903,418246.927112644
스타벅스 수원연무DT점,영업,201909,202301,202475.526984807,421134.605860922
스타벅스 수원이마트점,영업,200112,202301,201782.733115582,416501.699707548
스타벅스 수원정자사거리DT점,영업,202211,202301,200287.264935293,421022.694554993
스타벅스 수원종합운동장점,영업,202111,202301,200709.964197603,422148.069630048
스타벅스 수원천천점,영업,201802,202301,198394.651596664,421700.373911859
스타벅스 수원청명점,영업,202208,202301,206871.299962032,416963.513323882
스타벅스 수원호매실점,영업,201806,202301,194646.914639846,419291.253978224
스타벅스 아주대점,영업,201207,202301,203777.16251345,419745.57021764
스타벅스 영통R점,영업,201901,202301,205421.24649796,415910.045603608
스타벅스뉴코아동수원점,폐업,200112,201208,202973.411454839,418262.114394234
스타벅스북수원IC DT점,영업,201808,202301,199801.843050476,422867.506310051
스타벅스수원매산점,영업,200608,202301,200184.173291412,418393.06389151
스타벅스수원역점,폐업,200302,200909,199920.315059193,418246.163173145
스타벅스수원영통점,영업,201204,202301,206521.718164127,417068.663604595
스타벅스수원인계점,영업,201209,202301,202847.255175582,418176.830110684
스타벅스커피 광교이마트점,영업,201508,202301,204159.790041271,421622.575799907
스타벅스커피 수원광교,영업,201505,202301,204409.226022404,420967.617798492
스타벅스커피 수원망포디티점,영업,201511,202301,204485.542318134,415997.234308927
스타벅스커피 수원인계DT점,영업,201409,202301,202408.837145502,418444.604865334
스타벅스커피동수원DT점,영업,201509,202301,202922.889449892,419577.530817874
스타벅스커피수원망포역점,영업,201304,202301,204894.596571785,415913.666015514
스타벅스커피수원트레이더스점,영업,201408,202301,,
스타벅스커피코리아 수원이비스(IBIS)점,영업,201502,202301,202711.35924603,417476.017840307
스타벅스 커피 시화로데오점,영업,201210,202301,176656.503663183,426991.783820639
스타벅스배곧신도시점,영업,201801,202301,,
스타벅스배곧아브뉴프랑점,영업,202001,202301,,
스타벅스시흥능곡역점,영업,202204,202301,182864.742763587,429902.071373508
스타벅스시흥대야DT,영업,202001,202301,181142.009201749,437752.466253138
스타벅스시흥대야동점,영업,202004,202301,181513.941234036,437742.733728866
스타벅스시흥대야점,영업,201710,202301,181414.40198377,437998.763759701
스타벅스시흥목감DT점,영업,202012,202301,186661.789838316,430651.591709491
스타벅스시흥월곶점,영업,202111,202301,176827.522044341,431957.558237848
스타벅스시흥은계점,영업,202008,202301,182377.715606346,437291.014671068
스타벅스시흥장현점,영업,202207,202301,181268.875221092,430651.776551747
스타벅스시흥프리미엄아울렛1층점,영업,201704,202301,,
스타벅스시흥프리미엄아울렛3층점,영업,201704,202301,,
스타벅스,폐업,201210,201210,185029.298232779,419781.472977914
