사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
스타벅스 스타필드코엑스몰R점,영업,201705,202301,205130.5917,445590.0968
스타벅스큰길타워점,영업,200503,202301,203530.6026,444462.1935
스타벅스 삼성교점,영업,201304,202301,205694.0895,445069.1875
스타벅스 수서역R점,영업,201806,202301,209009.8641,442872.1606
스타벅스커피 역삼대로점,영업,201306,202301,203383.7287,444401.9945
스타벅스커피 역삼초교사거리점,영업,201403,202301,202835.6812,443561.706
스타벅스삼성점,영업,200203,202301,204842.305,444981.41
스타벅스커피 삼성도심공항점,영업,201307,202301,205048.1788,445288.794
스타벅스커피 강남대로점,영업,201306,202301,202196.5463,444552.1795
스타벅스강남구청역점,영업,200504,202301,203576.2031,446044.3286
스타벅스압구정역점,영업,200103,202301,202415.8066,447167.1559
스타벅스대치역점,영업,200505,202301,205405.125,443463.355
스타벅스포이점,영업,200505,202301,203923.4518,441737.8869
스타벅스커피 역삼포스코점,영업,201307,202301,202900.5903,444136.7287
스타벅스 압구정미소점,영업,200412,202301,202398.0225,446869.3071
스타벅스 코엑스아셈타워점,영업,202010,202301,205130.5917,445590.0968
스타벅스 도산사거리점,영업,202106,202301,202940.9134,446374.9874
스타벅스 센터필드R점,영업,202107,202301,203599.0628,444556.0623
스타벅스 삼성동점,영업,202107,202301,205547.0377,445391.1343
스타벅스 압구정R점,영업,201808,202301,202855.6586,447241.6055
스타벅스 양재강남빌딩R점,영업,201808,202301,203168.515,442571.3535
스타벅스 봉은사역점,영업,202005,202301,205511.545,445869.825
스타벅스 도산가로수길,영업,201109,202301,201992.6637,446129.6949
스타벅스커피 강남구청정문점,영업,201703,202301,203993.7255,446236.536
스타벅스 신사역성일빌딩점,영업,201911,202301,201757.1057,445748.2452
스타벅스 국기원사거리점,영업,201907,202301,202731.24,444156.6
스타벅스 논현역사거리점,영업,201811,202301,201908.7511,445336.4638
스타벅스 삼성역섬유센터R점,영업,201811,202301,205291.4867,445028.2094
스타벅스 역삼아레나빌딩점,영업,201906,202301,203723.0958,444322.7362
스타벅스 잠실시그마타워점,영업,201811,202301,208994.018,445826.5456
스타벅스 송파KT,영업,202109,202301,209337.1045,445744.8644
스타벅스 송파NC점,영업,202107,202301,210986.4607,441725.2935
스타벅스 문정법원로R,영업,201808,202301,,
스타벅스 석촌역,영업,201009,202301,209314.5573,444678.0054
스타벅스 문정로데오점,영업,201412,202301,211101.3948,443302.5846
스타벅스 석촌서호,영업,201503,202301,208461.7118,444909.4852
스타벅스 잠실 새내역점,영업,201309,202301,207102.395,445477.545
스타벅스 올림픽평화의문점,영업,201511,202301,210215.159,445957.9817
스타벅스 잠실 푸르지오 월드점,영업,201309,202301,209087.1224,446139.1526
스타벅스 올림픽공원남문점,영업,201405,202301,210806.1788,445687.2878
스타벅스 송파위례점,영업,201706,202301,212641.2953,441934.2521
스타벅스 방이역점,영업,201312,202301,211132.8445,445154.0057
스타벅스 아시아선수촌점,영업,200506,202301,206919.4781,445370.2017
스타벅스 가락시장역점,영업,201201,202301,210681.5759,443586.1879
스타벅스잠실역점,영업,200309,202301,208730.6335,445905.0255
스타벅스 문정역점,영업,201705,202301,,
스타벅스 송파나루역DT점,영업,201903,202301,209677.2943,445409.9249
스타벅스 명일역점,영업,201812,202301,212636.289,450041.6562
스타벅스 상일동역점,영업,202101,202301,214956.1313,450617.9236
스타벅스커피 현대디큐브 2F,영업,201108,202301,190107.0454,445157.6264
스타벅스 신압구정점,영업,201106,202301,203149.9804,447322.6626
스타벅스 압구정로데오역,영업,201008,202301,203516.8889,447145.8878
스타벅스 압구정로점,영업,200712,202301,203000.2028,447174.4387
스타벅스 구로오류DT점,영업,202210,202301,185292.683,442894.4491
스타벅스 강서구청사거리점,영업,202102,202301,186884.4289,450307.9212
스타벅스 구로NC점,영업,202008,202301,189570.3609,444336.0513
스타벅스 가산에스케이점,영업,201808,202301,189378.3325,442066.9987
스타벅스 독산사거리점,영업,201705,202301,190977.3116,441050.3815
스타벅스커피 청담영동대로점,영업,201612,202301,204926.5006,446665.7213
스타벅스 양천향교역,영업,201610,202301,185834.5058,451638.2478
스타벅스커피 학동사거리점,영업,201509,202301,203286.239,446685.826
스타벅스커피 등촌점,영업,201502,202301,186173.478,450677.7932
스타벅스커피 청담사거리점,영업,201402,202301,204072.405,446839.9357
스타벅스 커피 청담점,영업,201309,202301,204490.5416,446902.9583
스타벅스커피 구로디지털로점,영업,201308,202301,190688.7475,442618.7857
스타벅스 커피 구로호텔점,영업,201211,202301,190990.9558,442338.8424
스타벅스아차산역점,영업,201809,202301,207872.907,449818.8805
스타벅스 광장점,영업,201205,202301,208729.1704,448995.8084
스타벅스 커피(장한평역점),영업,201202,202301,205717.4698,451120.5354
스타벅스커피 구의역점,영업,201202,202301,207359.0772,448305.4414
스타벅스커피여의도ABL타워점,영업,201411,202301,193553.4728,446289.3893
스타벅스커피여의도한양증권점,영업,201401,202301,193659.1402,446692.9922
스타벅스커피여의도일신점,영업,201312,202301,192878.6628,447300.2534
스타벅스커피 여의도호성,영업,201103,202301,193677.1246,446467.5965
스타벅스커피당산점,영업,201401,202301,191096.383,448115.6414
스타벅스 더북한산점,영업,202302,202301,195321.8361,461437.7814
스타벅스 새절역점,영업,202302,202301,192235.5744,454134.846
스타벅스 여의도신한투자증권타워,영업,202110,202301,193232.6823,446951.3704
스타벅스 더현대서울(B2)R,영업,202102,202301,193592.0004,447092.6294
스타벅스당산대로점,영업,201806,202301,191440.258,447884.5699
스타벅스여의도IFC몰(L1)R,영업,201803,202301,193326.931,446973.9146
스타벅스여의도KBSR점,영업,201801,202301,192696.2653,447151.9617
스타벅스국회대로점,영업,201706,202301,192821.7179,447564.9111
스타벅스 약수역점,영업,201501,202301,200878.3947,450351.5691
스타벅스 롯데캐슬 여의도점,영업,200507,202301,193421.6283,446448.1576
스타벅스 신금호역,영업,202212,202301,201716.6169,450300.9392
스타벅스중곡역,영업,202203,202301,207403.6213,451409.4742
스타벅스 송파마천사거리DT점,영업,202008,202301,212986.1017,444178.7844
스타벅스송파개롱역점,영업,201803,202301,211972.6067,443877.5571
스타벅스 문정하비오점,영업,201705,202301,210868.3975,442053.2279
스타벅스 송파아이파크점,영업,201604,202301,210698.85,441971.2713
스타벅스 올림픽훼미리점,영업,201407,202301,210226.6978,443267.2288
스타벅스 가락본동점,영업,201204,202301,210437.1235,443634.6733
스타벅스 가든파이브,영업,201106,202301,,
스타벅스고대점,영업,200307,202301,202556.2755,453517.967
스타벅스 문래동점,영업,201006,202301,190176.6272,446383.6614
스타벅스 월곡역점,영업,201305,202301,203502.0041,455500.569
스타벅스커피 여의도 의사당점,영업,201009,202301,192956.1254,447539.7495
스타벅스(선유도역점),영업,201603,202301,190613.7058,448341.565
스타벅스커피공덕오거리점,영업,200902,202301,195568.0067,448931.2947
스타벅스 삼성현대힐점,영업,200812,202301,204591.4023,445700.3249
스타벅스애오개역점,영업,200811,202301,195998.8959,449990.86
스타벅스마포아크로점,영업,200709,202301,195422.1754,448787.9735
스타벅스학동역점,영업,200408,202301,202646.5733,445825.6459
스타벅스 엔터식스한양대점,폐업,201412,202101,203477.9054,450542.4544
스타벅스 뱅뱅사거리점,폐업,201005,202205,202802.3752,442929.9922
스타벅스커피서교점,폐업,201412,202205,192602.6962,449899.3395
스타벅스묵동이마트점,폐업,201101,202204,206777.7314,456837.2196
스타벅스 안국역점,폐업,200908,201407,198548.6642,452679.3141
스타벅스영풍문고점,폐업,200312,202202,198351.8187,451921.603
스타벅스단성사점,폐업,200501,201003,199269.1155,452076.2256
스타벅스 상명아트홀점,폐업,200811,201811,200171.5159,453449.8545
주)스타벅스코리아,폐업,200106,200606,198757.1286,451907.1137
스타벅스써머셋팰리스점,폐업,200506,201008,198271.8438,452533.8997
스타벅스 SC 제일은행 본점,폐업,200107,200808,198375.2904,452091.9837
스타벅스 더종로점,폐업,201712,201712,198504.7727,452018.1615
스타벅스 종로평창,폐업,201103,201903,196997.2309,455942.4327
스타벅스 광교점,폐업,200603,202103,198533.5398,451850.2721
스타벅스 서울극장점,폐업,200810,202111,199205.3298,451945.822
스타벅스 수송동점,폐업,200211,201307,198334.582,452572.8859
스타벅스 새종로점,폐업,200212,201910,198733.2856,451930.8934
스타벅스 종로2가점,폐업,201210,201910,198811.9659,452040.8222
스타벅스 명동센트럴점,폐업,201811,202111,198625.2543,451373.686
스타벅스 국민은행명동점,폐업,200408,201101,198421.6477,451369.5459
스타벅스명동Ⅱ점,폐업,200410,201410,198403.8747,451281.4494
스타벅스명동성당점,폐업,200602,201601,198800.2984,451389.5513
스타벅스 외환은행본점,폐업,200309,201412,198611.2399,451473.2483
스타벅스 SKT TOWER 점,폐업,200809,201605,198614.9786,451577.839
스타벅스 명동 M plaza,폐업,200809,201508,198619.3882,451135.7403
스타벅스백병원별관점,폐업,200602,201104,199027.4058,451303.612
스타벅스 서소문점,폐업,200611,202111,197772.4785,451236.8393
스타벅스신세계본점B1,폐업,200512,201407,198253.896,450905.2845
스타벅스 명동점,폐업,200509,201508,198629.8672,451052.713
스타벅스신세계본점,폐업,200508,201410,,
스타벅스명동눈스퀘어점,폐업,200906,201606,198418.7417,451237.1686
스타벅스 시청 플러스,폐업,201204,202202,198160.4203,451559.1843
스타벅스 남산스테이트,폐업,201209,202103,198420.987,450877.8749
스타벅스 소공로북창점,폐업,201006,202111,198065.2935,451271.1292
스타벅스 을지로1가점,폐업,201101,201510,198431.2757,451678.6053
스타벅스 명동미래,폐업,201002,202009,198562.7545,451322.8305
스타벅스한강진역점,폐업,201802,201803,200025.7351,448318.475
스타벅스 이태원점,폐업,200407,201407,199472.627,448007.9612
스타벅스이태원입구점,폐업,200704,201805,198981.1894,447973.6355
스타벅스커피 이태원거리점,폐업,201306,202007,199716.1526,448084.3782
스타벅스 고척아이파크점,영업,202301,202301,187477.5794,444045.2949
스타벅스왕십리엔터식스점,폐업,200809,201204,203292.1519,451267.7309
스타벅스 뚝섬역점,폐업,201711,202103,204270.5772,449354.5236
스타벅스 뚝섬역점,폐업,201711,202103,204270.5772,449354.5236
스타벅스커피구의디티(DT)점,영업,201504,202301,207644.67,449227.7142
스타벅스커피강변역점,폐업,201404,202206,208135.5074,448204.0917
스타벅스(구의점),폐업,200612,201202,207272.1495,448355.7308
스타벅스 광나루역점,폐업,200609,201109,209023.363,449094.1411
스타벅스(테크노마트점),폐업,200507,200808,208394.4164,448165.28
스타벅스(건대병원점),폐업,200507,201108,206303.0322,448689.8782
스타벅스청량리역점,폐업,200812,201903,203890.4419,453052.825
스타벅스 고대안암병원 점,폐업,200604,201905,202313.8508,453871.2647
스타벅스 고대프라자점,폐업,200410,201002,202789.6923,454049.5519
스타벅스 가양이마트점,폐업,200308,202209,187761.1943,450640.2145
스타벅스 서울웨이브아트센터점,영업,202009,202301,200569.2754,446229.81
스타벅스커피 서울여대점,폐업,201308,202009,207918.3204,458383.9834
스타벅스 경동1960,영업,202212,202301,203347.5172,453035.6762
스타벅스 연신내역,폐업,201102,201904,192879.286,457277.2689
스타벅스커피코리아 명지대점,폐업,201506,202005,193071.0875,452890.0137
스타벅스커피 동교삼거리,폐업,201312,201911,193512.0635,450729.659
스타벅스 신촌기차역점,폐업,200404,201704,194652.7901,450729.5046
스타벅스 신촌대로점,폐업,200404,202005,194565.6693,450443.3572
스타벅스연대정문점,폐업,200601,201112,194336.3961,450703.601
스타벅스커피홍대공원점,폐업,201406,201911,193148.8816,449965.4706
스타벅스 홍대정문점,폐업,200512,201101,193191.7597,449973.3204
스타벅스월드컵경기장점,폐업,200305,201105,,
스타벅스홍대점,폐업,200212,201212,193084.0831,450267.2616
스타벅스공덕역점,폐업,201206,201907,195782.1679,449467.1254
스타벅스홍대갤러리점,폐업,200904,202102,193288.2761,450114.9809
스타벅스 홍대로데오점,폐업,200707,201209,,
스타벅스합정역점,폐업,201112,201609,192359.2386,449646.7231
스타벅스 서강대점,폐업,200605,201105,194369.3187,449982.6876
스타벅스홍대입구역사거리R,폐업,201801,201807,192887.1596,450276.0244
스타벅스커피목동하이페리온점,폐업,201305,202007,188431.2863,446909.3659
스타벅스오목교사거리점,폐업,201006,201507,188992.7942,446886.6209
스타벅스오목교역,폐업,200612,201201,188431.2863,446909.3659
스타벅스강서아이파크점,폐업,201009,201709,186786.6225,450297.7027
스타벅스김포공항2호점,폐업,200110,201211,182974.8501,450419.6846
스타벅스김포공항1호점,폐업,200110,201211,182974.8501,450419.6846
스타벅스 드림마크원점,폐업,200406,202206,190346.4386,442638.4493
스타벅스 신도림테크노마트,폐업,200712,201301,190232.5245,444978.6827
스타벅스KBS동문점,폐업,200307,200808,192656.5771,447120.5961
스타벅스신세계영등포점,폐업,200403,201003,191620.7947,446092.3308
스타벅스신세계영등포2호점,폐업,200604,200808,191581.5003,446108.8072
스타벅스여의도미래에셋대우,폐업,200209,201911,193711.993,446672.449
스타벅스여의도하나금융투자,폐업,200211,201711,193017.8785,446707.5308
스타벅스서여의도점,폐업,200011,202004,192883.8208,447484.8781
스타벅스국민은행여의도점,폐업,200406,201504,193555.4046,446518.2327
스타벅스커피여의도IFC몰,폐업,201208,201810,193326.931,446973.9146
스타벅스 당산역점,폐업,200810,202009,191257.8864,448036.2005
스타벅스 보라매타운점,폐업,201001,201902,193153.177,443251.1214
스타벅스 낙성대역점,영업,201909,202301,196499.3118,441722.928
스타벅스서울대점,폐업,200103,201304,195702.9185,442040.6407
스타벅스 법원삼거리점,폐업,201007,201405,200993.847,443406.4918
스타벅스 신세계강남 지하1층점,폐업,201011,201012,200250.4478,444683.2205
스타벅스 예술의전당점,폐업,200912,202112,201124.6753,442107.3256
스타벅스강남대로점,폐업,200311,200812,202389.26,443804.065
스타벅스 삼호물산점,폐업,200801,201407,203818.8404,441561.3646
스타벅스 방배카페입구,폐업,201012,201807,198666.4584,443897.1505
스타벅스뱅뱅점,폐업,200206,201802,202583.1659,443087.3989
스타벅스커피 신세계강남 7F,폐업,200907,201703,200250.4478,444683.2205
스타벅스 강남대로 반포점,폐업,200904,201405,201905.6684,444987.3247
스타벅스 신세계강남점,폐업,200102,200907,200250.4478,444683.2205
스타벅스신세계강남점,폐업,200010,201106,200250.4478,444683.2205
스타벅스 서래마을성당점,폐업,200806,201506,199362.1675,443521.3782
스타벅스 신사2점,폐업,200608,201410,201664.3586,445710.12
스타벅스신사가로수길점,폐업,201008,201510,201964.7575,446259.913
스타벅스  삼성역사거리점,폐업,201001,201711,205474.375,445050.535
스타벅스 코엑스2점,폐업,200612,201311,205130.5917,445590.0968
스타벅스영동점,폐업,200508,201010,203519.698,446241.7445
스타벅스도심공항터미널점,폐업,200407,201311,205170.9597,445264.9363
스타벅스 삼성역점,폐업,201303,202011,205577.8391,445320.4182
스타벅스기술센터점,폐업,200304,202104,203789.6733,444565.7223
스타벅스 씨티극장점,폐업,200608,201109,202310.3114,444240.7983
스타벅스수서점,폐업,200605,202107,208937.7607,442873.588
스타벅스삼성서울병원점,폐업,200205,200801,207534.4946,442943.8604
스타벅스청담점,폐업,200212,200712,203473.9251,446939.2252
스타벅스삼성역점,폐업,200212,201211,205517.8958,445373.9456
스타벅스논현역점,폐업,200502,200911,201903.35,445314.635
스타벅스랜드마크점,폐업,200502,201003,202741.8104,443163.6451
스타벅스리빙플라자선릉점,폐업,200306,200803,204452.235,444818.935
스타벅스양재역점,폐업,200604,201105,202973.006,442568.8789
스타벅스삼성2점,폐업,200709,201209,205695.255,445153.685
스타벅스논현점,폐업,200111,201212,,
스타벅스국기원점,폐업,200207,200801,202676.4228,444136.0826
스타벅스 역삼점,폐업,200011,201104,203267.0859,444376.2729
스타벅스아셈점,폐업,200005,200410,205259.5276,445361.9371
스타벅스강남점,폐업,200002,201101,202368.6453,444112.9519
스타벅스압구정점,폐업,200012,201104,203171.8962,447270.984
스타벅스 포스코사거리점,폐업,200510,201010,204903.731,445130.2123
스타벅스청담역점,폐업,200509,201010,204457.767,446164.9863
스타벅스역삼이마트점,폐업,200703,201104,204213.6432,444113.0282
스타벅스 신사점,폐업,200101,200801,201715.3874,445907.4494
에렉스에프앤비(주)스타벅스코엑스점,폐업,200011,201401,205130.5917,445590.0968
스타벅스 국기원사거리점,폐업,200806,201407,202751.6603,443834.771
스타벅스 가로수길 점,폐업,200806,201307,201901.4371,446779.2032
스타벅스씨네시티점,폐업,200512,201104,203205.417,446740.5529
스타벅스역삼예지점,폐업,200510,201010,203100.8503,444470.0955
스타벅스커피 강남역점,폐업,201205,201705,202337.2215,444235.2846
스타벅스 차병원사거리,폐업,201111,202211,203057.8297,445092.1834
스타벅스올림픽공원점,폐업,200706,201307,210215.1291,446275.7766
스타벅스올림픽프라자점,폐업,200405,201504,211619.368,445963.3849
스타벅스 송파구청점,폐업,201611,202206,209427.4102,445829.7259
스타벅스현대천호점,폐업,200406,201408,210931.6435,448522.0798
스타벅스커피 올림픽공원 북문점,폐업,201405,202107,211064.097,447034.5346
스타벅스 현대천호B1점,폐업,201508,201810,210931.6435,448522.0798
스타벅스 길동사거리점,폐업,201008,202009,212167.3054,448056.9768
스타벅스 역삼역점,폐업,200912,202301,203038.9781,444288.224
